id_pedido,id_producto,cantidad,fecha,id_cliente,metodo_pago
118,SKU06,4.0,2025-02-12,CL18,Tarjeta de crédito
119,SKU05,2.0,2025-06-06,CL09,Tarjeta de débito
120,SKU02,2.0,2025-04-07,CL01,Transferencia
121,SKU04,4.0,2025-04-08,CL06,PayPal
122,SKU03,4.0,2025-01-13,CL17,Tarjeta de crédito
123,SKU02,,2025-01-29,CL06,Tarjeta de crédito
124,SKU02,1.0,2025-02-15,CL11,PayPal
125,SKU08,4.0,2025-04-11,CL10,Contra entrega
126,SKU02,3.0,2025-01-02,CL09,PayPal
127,SKU08,2.0,2025-03-31,CL11,PayPal
128,SKU06,1.0,2025-01-24,CL07,Tarjeta de débito
129,SKU01,1.0,2025-02-12,CL11,Tarjeta de débito
130,SKU01,1.0,2025-02-14,CL02,Contra entrega
131,SKU04,3.0,2025-06-09,CL05,Contra entrega
132,SKU04,1.0,2025-03-20,CL04,PayPal
133,SKU04,4.0,2025-03-17,CL13,Tarjeta de crédito
134,SKU04,3.0,2025-02-28,CL10,Transferencia
135,SKU04,,2025-04-28,CL03,Tarjeta de débito
136,SKU03,,2025-01-13,CL20,Transferencia
137,SKU02,,2025-02-12,CL18,Tarjeta de crédito
138,SKU01,2.0,2025-05-14,CL01,Tarjeta de crédito
139,SKU02,1.0,2025-05-27,CL15,Contra entrega
140,SKU07,,2025-03-09,CL15,PayPal
141,SKU04,1.0,2025-02-06,CL10,Transferencia
142,SKU06,2.0,2025-04-01,CL18,Tarjeta de crédito
143,SKU06,1.0,2025-01-21,CL18,Tarjeta de débito
144,SKU08,,2025-03-16,CL11,Tarjeta de débito
145,SKU08,2.0,2025-06-25,CL09,PayPal
146,SKU08,4.0,2025-02-28,CL18,PayPal
147,SKU04,1.0,2025-01-25,CL06,Tarjeta de débito
148,SKU05,4.0,2025-06-02,CL16,Tarjeta de débito
149,SKU05,1.0,2025-03-17,CL03,Tarjeta de crédito
150,SKU04,1.0,2025/06/28,CL18,Contra entrega
151,SKU04,4.0,2025-06-25,CL14,Transferencia
152,SKU05,1.0,2025-04-21,CL20,PayPal
153,SKU07,2.0,2025-06-21,CL14,PayPal
154,SKU07,2.0,2025-05-31,CL16,Tarjeta de débito
155,SKU01,2.0,2025-04-06,CL12,Contra entrega
156,SKU07,1.0,2025-03-09,CL17,Tarjeta de débito
157,SKU03,3.0,2025-06-17,CL04,Tarjeta de débito
158,SKU03,1.0,2025-03-22,CL19,Contra entrega
159,SKU02,1.0,2025-06-22,CL02,Contra entrega
160,SKU03,4.0,2025-04-07,CL06,Transferencia
71,SKU06,3.0,2025-02-14,CL01,Contra entrega
140,SKU07,,2025-03-09,CL15,PayPal
7,SKU08,3.0,2025-04-13,CL06,Tarjeta de débito
4,SKU04,4.0,2025-04-15,CL02,Tarjeta de crédito
48,SKU07,1.0,2025-02-12,CL15,Tarjeta de débito
